YEAR,GA,VDF,MDF,OF,TOTAL
1975,3287469,71584,233458,250138,555180
1976,3287469,70456,229501,239938,539895
1977,3287469,69234,220501,234875,524610
1978,3287469,68381,216200,224744,509325
1979,3287469,67381,210417,216242,494040
1980,3287469,66786,203716,208253,478755
1981,3287469,62381,200345,200744,463470
1982,3287469,68935,211865,212432,493232
1983,3287469,73934,224493,224567,522994
1984,3287469,75584,233434,243738,552756
1985,3287469,78746,246116,257655,582517
1986,3287469,82236,261078,268965,612279
1987,3287469,84847,280686,276508,642041
1988,3287469,84851,289278,266959,641088
1989,3287469,84855,297870,257409,640134
1990,3287469,84936,301053,253669,639658
1991,3287469,85017,304235,249930,639182
1992,3287469,85065,304478,250102,639645
1993,3287469,85112,304720,250275,640107
1994,3287469,84823,305238,249793,639854
1995,3287469,84533,305756,249311,639600
1996,3287469,79680,301508,255310,636499
1997,3287469,74827,297260,261310,633397
1998,3287469,74819,295561,255808,635345
1999,3287469,74811,293861,250306,637293
2000,3287469,70927,321813,254517,656416
2001,3287469,67044,349765,258729,675538
2002,3287469,59164,344522,254517,676936
2003,3287469,51285,339279,287769,678333
2004,3287469,67379,329613,287260,684252
2005,3287469,83472,319948,286751,690171
2006,3287469,83491,319480,287564,690535
2007,3287469,83510,319012,288377,690899
2008,3287469,83469,319625,288557,691647
2009,3287469,83428,320238,288738,692394
2010,3287469,83450,320487,288279,692211
2011,3287469,83471,320736,287820,692027
2012,3287469,83487,319741,291735,694963
2013,3287469,83502,318745,295651,697898
2014,3287469,84703,317060,298023,699786
2015,3287469,85904,315374,300395,701673
2016,3287469,92031,311756,301096,704883
2017,3287469,98158,308138,301797,708093
2018,3287469,98718,308305,303148,710171
2019,3287469,99278,308472,304499,712249
2020,3287469,99529,307681,305810,713019
2021,3287469,99779,306890,307120,713789
