,State/UT,2018-19,2019-20,2020-21,2021-22,2022-23
1,Andhra Pradesh,276.17,194.04,51.49,10.48,68.96
2,Arunachal Pradesh,0,17.01,19.76,10.54,9.3
3,Andaman & Nicobar,0,6.77,0.35,37.97,0
4,Assam,0,33.07,0,9.19,14.02
5,Bihar,5.48,1.38,2.93,0,0
6,Chandigarh,18.76,5.13,0.85,0,0.73
7,Chhattisgarh,127.7,13.45,0,7.1,13.54
8,Delhi,0,0.6,23.29,26.17,10.07
9,Goa,0,0.5,0,3.59,0
10,Gujarat,417.99,81.19,101.3,1242.71,1114.65
11,Haryana,27.5,22.44,65.89,175.08,118.18
12,Himachal Pradesh,28.05,8.09,23.43,33.44,15.73
13,Jammu & Kashmir,10.53,16.68,4.89,42.26,27.98
14,Jharkhand,33.44,29.79,31.28,15.16,40.64
15,Karnataka,69.52,219.51,160.64,141.91,90.98
16,Kerala,5.5,0,18.46,36.34,89.71
17,Ladakh,0,0,0,12.41,125
18,Lakshadweep,0,0,0,0,0
19,Madhya Pradesh,132.9,159.33,93.69,64.95,170.14
20,Maharashtra,182.63,117.32,114.48,95.16,304.58
21,Manipur,0,16.86,23.06,14.89,0
22,Meghalaya,1.57,3.47,1.13,0,0
23,Mizoram,0,15.33,19.73,2.35,1.29
24,Nagaland,2.06,13.55,10.69,5.86,6.37
25,Odisha,35.64,30.17,4.01,33.47,26.7
26,Puduchchery,0.1,0.79,0,0,0
27,Punjab,39.54,25.94,31.85,65.6,55.93
28,Rajasthan,237.01,213.31,668.67,305.84,258.84
29,Sikkim,2.74,0,0,0.03,0
30,Tamil Nadu,42.33,29.29,86.08,60.92,10.98
31,Telangana,53.15,54.5,54.03,49.11,42.81
32,Tripura,0,12.65,18.49,16.88,0.12
33,Uttarakhand,30.93,24.86,8.99,28.93,8.33
34,Uttar Pradesh,95.78,92.83,68.91,41.9,74.32
35,West Bengal,11.28,15.7,0,0,4.71
